id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Documents>,weight<Citations>,weight<Norm. citations>,score<Avg. pub. year>,score<Avg. citations>,score<Avg. norm. citations>
2,argentina,1.4672,-0.1349,5,9,22,27,497,12.0217,2017.4074,18.4074,0.4452
4,australia,-0.1074,-0.1398,8,46,240,172,9868,237.8918,2015.8605,57.3721,1.3831
5,austria,0.1448,0.4639,4,27,96,52,1912,53.4024,2015.9615,36.7692,1.027
6,bangladesh,-0.1678,-0.7608,2,5,6,6,164,7.9556,2021.3333,27.3333,1.3259
7,belgium,-0.1992,0.919,9,22,67,50,3854,82.9553,2014.84,77.08,1.6591
8,brazil,1.0834,-0.1672,5,23,70,77,2171,47.2901,2016.7532,28.1948,0.6142
12,canada,0.3084,-0.6355,6,43,271,240,22598,360.9839,2014.6125,94.1583,1.5041
13,chile,1.2882,-0.2386,5,12,33,25,969,22.8433,2014.92,38.76,0.9137
14,colombia,1.2822,-0.2553,5,5,5,5,37,1.8796,2019,7.4,0.3759
16,croatia,0.4879,-0.7322,6,5,5,6,448,11.8994,2015.6667,74.6667,1.9832
19,czech republic,-0.2366,0.4086,1,18,48,25,1314,28.1022,2014.12,52.56,1.1241
20,denmark,0.1406,-0.161,2,24,86,51,2222,52.597,2015,43.5686,1.0313
22,egypt,-0.7757,0.336,1,13,38,47,877,41.2575,2019,18.6596,0.8778
23,england,-0.0271,0.1856,3,46,551,312,19378,395.7465,2014.8942,62.109,1.2684
26,finland,0.0503,-0.1434,2,26,85,42,10985,123.9502,2015.2619,261.5476,2.9512
27,france,-0.0658,0.488,9,41,317,190,8009,165.5371,2015.1947,42.1526,0.8712
29,germany,0.0203,0.0181,4,47,410,336,15911,354.1826,2015.0744,47.3542,1.0541
30,greece,-0.1998,0.5549,1,20,71,52,2312,57.7349,2015.6923,44.4615,1.1103
31,hungary,0.3651,0.67,4,16,53,33,1055,32.4673,2018.0606,31.9697,0.9839
32,iceland,0.426,0.3531,3,9,15,10,812,15.8107,2014.5,81.2,1.5811
33,india,-0.778,-0.0743,1,28,118,222,5015,214.5487,2018.2703,22.5901,0.9664
34,indonesia,-0.9421,0.3775,1,2,2,5,25,4.8129,2021.4,5,0.9626
35,iran,-0.2194,-0.5912,2,16,34,79,1407,47.6196,2018.1392,17.8101,0.6028
37,ireland,0.0906,0.3167,3,16,38,29,2022,34.804,2016.3448,69.7241,1.2001
38,israel,0.3356,-0.4733,6,21,75,51,2612,81.5553,2016.4706,51.2157,1.5991
39,italy,0.061,0.1073,4,44,358,295,11444,263.752,2015.5559,38.7932,0.8941
40,japan,-0.8319,-0.4224,7,24,146,229,11346,211.2968,2013.0437,49.5459,0.9227
45,lebanon,-0.5942,0.7754,1,4,7,5,55,1.9834,2020.4,11,0.3967
47,lithuania,0.6153,-1.2322,6,1,1,6,204,3.455,2017.3333,34,0.5758
48,luxembourg,-0.5154,-0.3888,7,8,14,6,129,4.3303,2019.5,21.5,0.7217
